,ligand,receptor,pathway,ligand_annotation,TF
Angptl4|COMPLEX:Itga5_Itgb1,Angptl4,COMPLEX:Itga5_Itgb1,ANGPTL,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Angptl4|Sdc3,Angptl4,Sdc3,ANGPTL,Secreted,"Pax8, Sox2, Hes5, Rbpj, Smad1, Lef1, Hes1, Hif1a, Mef2c"
Angptl4|Sdc1,Angptl4,Sdc1,ANGPTL,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Angptl4|Sdc4,Angptl4,Sdc4,ANGPTL,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Angptl4|Cdh5,Angptl4,Cdh5,ANGPTL,Secreted,"Nr4a1, Foxo3, Tcf7l2, Thra, Pitx2, Pou5f1, Tcf4, Hnf1a, Foxo1, Foxo4, Mlxipl, Nr4a3, Rela, Klf4, Trp53, Nfkb1, Tcf7, Myod1, Nr4a2, Foxo6"
Angptl4|Sdc2,Angptl4,Sdc2,ANGPTL,Secreted,"Nfatc1, Ar, Esr1, Nfatc3, Nfatc2, Creb1"
Angptl4|Cdh11,Angptl4,Cdh11,ANGPTL,Secreted,"Nr4a1, Myod1, Nr4a2, Foxo4, Foxo3, Klf4, Tcf7l2, Nr4a3, Pitx2, Pou5f1, Tcf4, Hnf1a, Foxo1, Tcf7"
Angptl1|Tek,Angptl1,Tek,ANGPTL,Secreted,"Nr4a1, Foxo3, Brca1, Creb5, Creb3l1, Atf6b, Creb3l4, Runx3, Rxra, Rela, Hif1a, Creb3l3, Trp53, Nfkb1, Atf4, Creb3l2, Myc, Rbl2, Atf2, Creb3, Ikbkb, Myb, Creb1, Mdm2"
Angptl2|COMPLEX:Itga5_Itgb1,Angptl2,COMPLEX:Itga5_Itgb1,ANGPTL,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Angptl2|Tlr4,Angptl2,Tlr4,ANGPTL,Secreted,"Nr4a1, Nr3c1, Foxo3, Mef2b, Thra, Sp7, Creb5, Esr2, Cebpb, Vdr, Creb3l1, Atf6b, Stat3, Ddit3, Ets2, Erf, Creb3l4, Gata2, Elk1, Jun, Hsf1, Mef2a, Sp1, Elk4, Tcf3, Ar, Esr1, Stat1, Traf6, Rela, Fos, Hif1a, Ets1, Mef2c, Junb, Trp53, Usf1, Nfkb1, Mitf, Nfatc3, Atf4, Twist1, Atf6, Rara, Dlx5, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Hbp1, Atf2, Creb3, Stat4, Elk3, Runx2, Nfatc2, Creb1, Mef2d, Thrb"
Angptl3|COMPLEX:Itgav_Itgb3,Angptl3,COMPLEX:Itgav_Itgb3,ANGPTL,Secreted,"Nfkb1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg"
Angptl3|Itga5,Angptl3,Itga5,ANGPTL,Secreted,"Stat3, Fos, Sp1, Jun"
Angptl1|COMPLEX:Itga1_Itgb1,Angptl1,COMPLEX:Itga1_Itgb1,ANGPTL,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Angptl1|Pirb,Angptl1,Pirb,ANGPTL,Secreted,
Angptl7|Pirb,Angptl7,Pirb,ANGPTL,Secreted,
Anxa1|Egfr,Anxa1,Egfr,ANNEXIN,unSecreted,"Nr4a1, Foxo3, Brca1, Tcf7l2, Trp73, Thra, Irf1, Atf6b, Stat3, Erf, Dnmt1, Foxo1, Hsf1, Runx3, Ep300, Traf6, Abl1, Hif1a, Trp53, Rara, Creb3l2, Pparg, Smad3, Nfkbib, Atf2, Stat4, Hic1, Creb1, Mdm2, Irf3, Med1, Elk1, Crebbp, Rxra, Ar, Stat1, Dbp, Mitf, Nfkb2, Stat5b, Tcf7, Rbl2, Rora, Ikbkb, Lef1, Foxo6, Nfatc2, Arnt, Creb5, Prdm1, Cebpb, Tcf7l1, Ets2, Spi1, Ncoa3, Sp1, Xbp1, Junb, Tfcp2, Atf4, Irf9, Ctnnb1, Egr1, Stat6, Nfatc1, Nfkbia, Runx2, Gata3, Pgr, Esr2, Creb3l1, Creb3l4, Srf, Jun, Foxo4, Stat2, Esr1, Rela, Fos, Stat5a, Creb3l3, Ets1, Klf4, Nfkb1, Usf1, Nfatc3, Myc, E2f1, Creb3, Myb, Thrb"
Anxa1|Fpr1,Anxa1,Fpr1,ANNEXIN,unSecreted,"Stat3, Pparg, Rxra, Ar, Stat1, Stat5b, Gtf2i, Esr1, Fos, Stat5a"
Anxa1|COMPLEX:Fpr2,Anxa1,COMPLEX:Fpr2,ANXA1,unSecreted,
Apln|Aplnr,Apln,Aplnr,APELIN,Secreted,"Stat3, Pparg, Rxra, Ar, Stat1, Stat5b, Gtf2i, Esr1, Fos, Stat5a"
Apln|Grm7,Apln,Grm7,APLN,Secreted,"Stat3, Trp53, Pparg, Smad3, Rxra, Ar, Stat1, Stat5b, Gtf2i, Jun, Esr1, Fos, Stat5a, Myc"
Apob|Ldlr,Apob,Ldlr,APOB,Secreted,
Apob|Olr1,Apob,Olr1,APOB,Secreted,
Apob|Lrp2,Apob,Lrp2,APOB,Secreted,Gata3
Apob|Lsr,Apob,Lsr,APOB,Secreted,
Apod|Lepr,Apod,Lepr,APOD,Secreted,"Foxo3, Prdm1, Stat3, Dnmt1, Spi1, Grhl1, Foxo1, Foxo4, Mlxipl, Stat2, Stat1, Rela, Dbp, Stat5a, Ppargc1a, Atoh1, Junb, Klf4, Trp53, Irf9, Stat5b, Hoxa10, Egr1, Myc, Stat6, Stat4, Foxo6, Ppara, Gtf2i"
Apoe|Lrp5,Apoe,Lrp5,APOE,Secreted,"Myc, Smad3, Hsf1, Mlxipl, Tcf7l2, Arntl, Fosl1, Tcf7l1, Gli3, Clock, Lef1, Gli2, Foxm1, Ctnnb1, Ppard, Tbp, Tcf7, Jun"
Apoe|Ldlr,Apoe,Ldlr,APOE,Secreted,
Apoe|Sdc2,Apoe,Sdc2,APOE,Secreted,"Nfatc1, Ar, Esr1, Nfatc3, Nfatc2, Creb1"
Apoe|Vldlr,Apoe,Vldlr,APOE,Secreted,
Apoe|Lrp2,Apoe,Lrp2,APOE,Secreted,Gata3
Apoe|Lrp1,Apoe,Lrp1,APOE,Secreted,"Rxra, Ar, Esr1, Stat1, Fos, Stat3, Gtf2i, Stat5a, Stat5b, Pparg"
Apoe|Lrp8,Apoe,Lrp8,APOE,Secreted,
Apoe|Lsr,Apoe,Lsr,APOE,Secreted,
Apoe|Scarb1,Apoe,Scarb1,APOE,Secreted,"Rxra, Ar, Esr1, Stat1, Fos, Stat3, Gtf2i, Stat5a, Stat5b, Pparg"
Apoe|Sorl1,Apoe,Sorl1,APOE,Secreted,
Apoe|Trem2,Apoe,Trem2,APOE,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
App|Tnfrsf21,App,Tnfrsf21,APP,unSecreted,"Trp73, Trp63"
App|Cd74,App,Cd74,APP,unSecreted,"Stat3, Stat1, Dbp, Stat5b, Stat2, Stat5a"
App|Ngfr,App,Ngfr,APP,unSecreted,"Nr4a1, Foxo3, Brca1, Creb5, Esr2, Creb3l1, Atf6b, Creb3l4, Jund, Elk1, Foxo1, Ahctf1, Jun, Sp1, Foxo4, Rxra, Fosb, Fosl1, Esr1, Rela, Fos, Creb3l3, Junb, Trp53, Nfkb1, Atf4, Creb3l2, Egr1, Myc, Smad3, Rbl2, Atf2, Creb3, Ikbkb, Myb, Foxo6, Smad4, Fosl2, Creb1, Mdm2"
App|Fpr2,App,Fpr2,APP,unSecreted,
App|Gpc1,App,Gpc1,APP,unSecreted,"Nfatc1, Ar, Esr1, Nfatc3, Fos, Nfatc2, Creb1, Hif1a"
App|Lrp1,App,Lrp1,APP,unSecreted,"Rxra, Ar, Esr1, Stat1, Fos, Stat3, Gtf2i, Stat5a, Stat5b, Pparg"
App|Ncstn,App,Ncstn,APP,unSecreted,"Hey2, Nfkb1, Hey1, Hes5, Rbpj, Rela, Stat3, Rbpjl, Hes1"
App|Sorl1,App,Sorl1,APP,unSecreted,
Tnfsf13|Tnfrsf11b,Tnfsf13,Tnfrsf11b,APRIL,Secreted,
Tnfsf13|Tnfrsf13b,Tnfsf13,Tnfrsf13b,APRIL,Secreted,
Tnfsf13|Tnfrsf1a,Tnfsf13,Tnfrsf1a,APRIL,Secreted,"Foxo3, Trp73, Esr2, Ddit3, Srebf1, Parp1, Stat3, Jund, Rel, Elk1, Foxo1, Jun, Relb, Daxx, Sp1, Elk4, Foxo4, Trp63, Fosb, Fosl1, Esr1, Rela, Fos, Traf6, Terf1, Mef2c, Junb, Trp53, Nfkb1, Nfatc3, Atf4, Nfkb2, Egr1, Irf5, Myc, Smad3, Nfatc1, Terf2, Nfkbib, Nfkbia, Atf2, Ikbkb, Foxo6, Max, Smad4, Fosl2, Creb1"
Tnfsf13|Fas,Tnfsf13,Fas,APRIL,Secreted,"Trp53, Daxx, Nfkb1, Elk4, Terf2, Nfkbia, Atf2, Atm, Atf4, Ddit3, Fos, Parp1, Rela, Max, Terf1, Elk1, Jun, Mef2c"
Tnfsf13|Sdc2,Tnfsf13,Sdc2,APRIL,Secreted,"Nfatc1, Ar, Esr1, Nfatc3, Nfatc2, Creb1"
Tnfsf13|Tnfrsf17,Tnfsf13,Tnfrsf17,APRIL,Secreted,"Elk1, Rela, Nfkb1"
Tnfsf13|Tnfrsf10b,Tnfsf13,Tnfrsf10b,APRIL,Secreted,"Ikbkb, Nfkbia"
Avp|Avpr2,Avp,Avpr2,AVP,Secreted,"Creb5, Creb3, Creb3l1, Creb3l4, Creb1, Creb3l3, Creb3l2"
Avp|Oxtr,Avp,Oxtr,AVP,Secreted,"Nfkb1, Nfatc1, Crebbp, Gli1, Creb5, Creb3, Creb3l1, Fos, Gli3, Creb3l4, Sox9, Ppara, Gata4, Creb1, Jun, Creb3l3, Creb3l2"
Avp|Avpr1a,Avp,Avpr1a,AVP,Secreted,"Stat3, Pparg, Smad3, Rxra, Ar, Stat1, Stat5b, Gtf2i, Jun, Esr1, Fos, Stat5a, Myc"
Avp|Avpr1b,Avp,Avpr1b,AVP,Secreted,"Stat3, Pparg, Smad3, Rxra, Ar, Stat1, Stat5b, Gtf2i, Jun, Esr1, Fos, Stat5a, Myc"
Azgp1|Itgav,Azgp1,Itgav,AZGP1,Secreted,"Nfkb1, Runx3, Ar, Esr1, Rela, Fos, Hif1a"
B2m|Tfrc,B2m,Tfrc,B2M,unSecreted,
B2m|Clec2m,B2m,Clec2m,B2M,unSecreted,Stat2
B2m|Klrd1,B2m,Klrd1,B2M,unSecreted,"Nfatc1, Nfkb1, Stat2, Rela, Fos, Nfatc3, Nfatc2, Jun"
Tnfsf13b|Tnfrsf13b,Tnfsf13b,Tnfrsf13b,BAFF,Secreted,
Tnfsf13b|Tnfrsf17,Tnfsf13b,Tnfrsf17,BAFF,Secreted,"Elk1, Rela, Nfkb1"
Tnfsf13b|Tnfrsf13c,Tnfsf13b,Tnfrsf13c,BAFF,Secreted,Nfkb2
Bdnf|Ngfr,Bdnf,Ngfr,BDNF,Secreted,"Nr4a1, Foxo3, Brca1, Creb5, Esr2, Creb3l1, Atf6b, Creb3l4, Jund, Elk1, Foxo1, Ahctf1, Jun, Sp1, Foxo4, Rxra, Fosb, Fosl1, Esr1, Rela, Fos, Creb3l3, Junb, Trp53, Nfkb1, Atf4, Creb3l2, Egr1, Myc, Smad3, Rbl2, Atf2, Creb3, Ikbkb, Myb, Foxo6, Smad4, Fosl2, Creb1, Mdm2"
Bdnf|Sort1,Bdnf,Sort1,BDNF,Secreted,
Bgn|Tlr4,Bgn,Tlr4,BGN,Secreted,"Nr4a1, Nr3c1, Foxo3, Mef2b, Thra, Sp7, Creb5, Esr2, Cebpb, Vdr, Creb3l1, Atf6b, Stat3, Ddit3, Ets2, Erf, Creb3l4, Gata2, Elk1, Jun, Hsf1, Mef2a, Sp1, Elk4, Tcf3, Ar, Esr1, Stat1, Traf6, Rela, Fos, Hif1a, Ets1, Mef2c, Junb, Trp53, Usf1, Nfkb1, Mitf, Nfatc3, Atf4, Twist1, Atf6, Rara, Dlx5, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Hbp1, Atf2, Creb3, Stat4, Elk3, Runx2, Nfatc2, Creb1, Mef2d, Thrb"
Bgn|Tlr2,Bgn,Tlr2,BGN,Secreted,"Nfkb1, Vdr, Rela, Fos, Jun"
Bmp10|Bmpr1b,Bmp10,Bmpr1b,BMP,Secreted,"Nfkb1, Id2, Id3, Rela, Smad1, Smad9, Smad4, Id4, Id1, Smad5"
Bmp10|Eng,Bmp10,Eng,BMP,Secreted,
Bmp10|Bmpr1a,Bmp10,Bmpr1a,BMP,Secreted,"Nfkb1, Id2, Id3, Rela, Smad1, Smad9, Smad4, Id4, Runx2, Id1, Smad5"
Bmp10|Acvr1,Bmp10,Acvr1,BMP,Secreted,"Smad3, Junb, Nfkb1, E2f4, Tfdp1, Rela, Smad1, Smad9, Smad4, Nanog, E2f5, Smad5"
Bmp15|Acvr2a,Bmp15,Acvr2a,BMP,Secreted,"Smad3, Junb, Nfkb1, E2f4, Tfdp1, Rela, Smad1, Smad4, Nanog, E2f5, Smad5, Smad2"
Bmp15|Bmpr1a,Bmp15,Bmpr1a,BMP,Secreted,"Nfkb1, Id2, Id3, Rela, Smad1, Smad9, Smad4, Id4, Runx2, Id1, Smad5"
Bmp2|Eng,Bmp2,Eng,BMP,Secreted,
Bmp2|Acvr1,Bmp2,Acvr1,BMP,Secreted,"Smad3, Junb, Nfkb1, E2f4, Tfdp1, Rela, Smad1, Smad9, Smad4, Nanog, E2f5, Smad5"
Bmp4|Bmpr2,Bmp4,Bmpr2,BMP,Secreted,"Nfkb1, Id2, Id3, Rela, Smad1, Smad9, Smad4, Id4, Id1, Smad5"
Bmp3|Acvr2a,Bmp3,Acvr2a,BMP,Secreted,"Smad3, Junb, Nfkb1, E2f4, Tfdp1, Rela, Smad1, Smad4, Nanog, E2f5, Smad5, Smad2"
Bmp3|Acvr2b,Bmp3,Acvr2b,BMP,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad9, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
Bmp7|Eng,Bmp7,Eng,BMP,Secreted,
Bmp6|Amhr2,Bmp6,Amhr2,BMP,Secreted,"Smad1, Smad9, Smad5"
Gdf9|COMPLEX:Bmpr2_Tgfbr1,Gdf9,COMPLEX:Bmpr2_Tgfbr1,BMP,Secreted,"Rorc, Tcf7l2, Id3, Tcf7l1, Ddit3, Stat3, Elk1, E2f5, Smad2, E2f2, Daxx, Elk4, Mybl2, Id2, E2f4, Rela, Terf1, Foxm1, Nanog, Smad5, Mef2c, Junb, Trp53, Nfkb1, Rbl1, Atf4, Smad9, E2f3, Tcf7, Irf5, Smad3, Rb1, Rbl2, Rora, Terf2, E2f1, Atf2, Tfdp1, Smad1, Foxp3, Smad4, Runx2, Id4, Max, Id1, Lef1"
Gdf9|Bmpr1b,Gdf9,Bmpr1b,BMP,Secreted,"Nfkb1, Id2, Id3, Rela, Smad1, Smad9, Smad4, Id4, Id1, Smad5"
Gdf9|Bmpr1a,Gdf9,Bmpr1a,BMP,Secreted,"Nfkb1, Id2, Id3, Rela, Smad1, Smad9, Smad4, Id4, Runx2, Id1, Smad5"
Bmp2|COMPLEX:Bmpr1a_Acvr2a,Bmp2,COMPLEX:Bmpr1a_Acvr2a,BMP,Secreted,"Smad3, Junb, Nfkb1, Id2, Id3, E2f4, Tfdp1, Rela, Smad1, Smad9, Smad4, Id4, Runx2, Id1, Nanog, E2f5, Smad5, Smad2"
Bmp2|COMPLEX:Bmpr1a_Acvr2b,Bmp2,COMPLEX:Bmpr1a_Acvr2b,BMP,Secreted,"Tcf7l2, Id3, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, Creb1, Id2, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad9, Smad3, Tfdp1, Smad1, Smad4, Runx2, Id4, Lef1, Id1, Max, Gata3"
Bmp2|COMPLEX:Bmpr1a_Bmpr2,Bmp2,COMPLEX:Bmpr1a_Bmpr2,BMP,Secreted,"Nfkb1, Id2, Id3, Rela, Smad1, Smad9, Smad4, Id4, Runx2, Id1, Smad5"
Bmp2|COMPLEX:Bmpr1b_Acvr2a,Bmp2,COMPLEX:Bmpr1b_Acvr2a,BMP,Secreted,"Smad3, Junb, Nfkb1, Id2, Id3, E2f4, Tfdp1, Rela, Smad1, Smad9, Smad4, Id4, Id1, Nanog, E2f5, Smad5, Smad2"
Bmp2|COMPLEX:Bmpr1b_Acvr2b,Bmp2,COMPLEX:Bmpr1b_Acvr2b,BMP,Secreted,"Tcf7l2, Id3, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, Id2, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad9, Smad3, Tfdp1, Smad1, Smad4, Lef1, Id4, Max, Id1, Creb1, Gata3"
Bmp2|COMPLEX:Bmpr1b_Bmpr2,Bmp2,COMPLEX:Bmpr1b_Bmpr2,BMP,Secreted,"Nfkb1, Id2, Id3, Rela, Smad1, Smad9, Smad4, Id4, Id1, Smad5"
Bmp4|COMPLEX:Bmpr1a_Acvr2a,Bmp4,COMPLEX:Bmpr1a_Acvr2a,BMP,Secreted,"Smad3, Junb, Nfkb1, Id2, Id3, E2f4, Tfdp1, Rela, Smad1, Smad9, Smad4, Id4, Runx2, Id1, Nanog, E2f5, Smad5, Smad2"
Bmp4|COMPLEX:Bmpr1a_Acvr2b,Bmp4,COMPLEX:Bmpr1a_Acvr2b,BMP,Secreted,"Tcf7l2, Id3, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, Creb1, Id2, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad9, Smad3, Tfdp1, Smad1, Smad4, Runx2, Id4, Lef1, Id1, Max, Gata3"
Bmp4|COMPLEX:Bmpr1a_Bmpr2,Bmp4,COMPLEX:Bmpr1a_Bmpr2,BMP,Secreted,"Nfkb1, Id2, Id3, Rela, Smad1, Smad9, Smad4, Id4, Runx2, Id1, Smad5"
Bmp4|COMPLEX:Bmpr1b_Acvr2a,Bmp4,COMPLEX:Bmpr1b_Acvr2a,BMP,Secreted,"Smad3, Junb, Nfkb1, Id2, Id3, E2f4, Tfdp1, Rela, Smad1, Smad9, Smad4, Id4, Id1, Nanog, E2f5, Smad5, Smad2"
Bmp4|COMPLEX:Bmpr1b_Acvr2b,Bmp4,COMPLEX:Bmpr1b_Acvr2b,BMP,Secreted,"Tcf7l2, Id3, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, Id2, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad9, Smad3, Tfdp1, Smad1, Smad4, Lef1, Id4, Max, Id1, Creb1, Gata3"
Bmp4|COMPLEX:Bmpr1b_Bmpr2,Bmp4,COMPLEX:Bmpr1b_Bmpr2,BMP,Secreted,"Nfkb1, Id2, Id3, Rela, Smad1, Smad9, Smad4, Id4, Id1, Smad5"
Gdf5|COMPLEX:Bmpr1a_Acvr2a,Gdf5,COMPLEX:Bmpr1a_Acvr2a,BMP,Secreted,"Smad3, Junb, Nfkb1, Id2, Id3, E2f4, Tfdp1, Rela, Smad1, Smad9, Smad4, Id4, Runx2, Id1, Nanog, E2f5, Smad5, Smad2"
Gdf5|COMPLEX:Bmpr1a_Acvr2b,Gdf5,COMPLEX:Bmpr1a_Acvr2b,BMP,Secreted,"Tcf7l2, Id3, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, Creb1, Id2, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad9, Smad3, Tfdp1, Smad1, Smad4, Runx2, Id4, Lef1, Id1, Max, Gata3"
Gdf5|COMPLEX:Bmpr1a_Bmpr2,Gdf5,COMPLEX:Bmpr1a_Bmpr2,BMP,Secreted,"Nfkb1, Id2, Id3, Rela, Smad1, Smad9, Smad4, Id4, Runx2, Id1, Smad5"
Gdf5|COMPLEX:Bmpr1b_Acvr2a,Gdf5,COMPLEX:Bmpr1b_Acvr2a,BMP,Secreted,"Smad3, Junb, Nfkb1, Id2, Id3, E2f4, Tfdp1, Rela, Smad1, Smad9, Smad4, Id4, Id1, Nanog, E2f5, Smad5, Smad2"
Gdf5|COMPLEX:Bmpr1b_Acvr2b,Gdf5,COMPLEX:Bmpr1b_Acvr2b,BMP,Secreted,"Tcf7l2, Id3, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, Id2, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad9, Smad3, Tfdp1, Smad1, Smad4, Lef1, Id4, Max, Id1, Creb1, Gata3"
Gdf5|COMPLEX:Bmpr1b_Bmpr2,Gdf5,COMPLEX:Bmpr1b_Bmpr2,BMP,Secreted,"Nfkb1, Id2, Id3, Rela, Smad1, Smad9, Smad4, Id4, Id1, Smad5"
Gdf6|COMPLEX:Bmpr1a_Acvr2a,Gdf6,COMPLEX:Bmpr1a_Acvr2a,BMP,Secreted,"Smad3, Junb, Nfkb1, Id2, Id3, E2f4, Tfdp1, Rela, Smad1, Smad9, Smad4, Id4, Runx2, Id1, Nanog, E2f5, Smad5, Smad2"
Gdf6|COMPLEX:Bmpr1a_Acvr2b,Gdf6,COMPLEX:Bmpr1a_Acvr2b,BMP,Secreted,"Tcf7l2, Id3, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, Creb1, Id2, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad9, Smad3, Tfdp1, Smad1, Smad4, Runx2, Id4, Lef1, Id1, Max, Gata3"
Gdf6|COMPLEX:Bmpr1a_Bmpr2,Gdf6,COMPLEX:Bmpr1a_Bmpr2,BMP,Secreted,"Nfkb1, Id2, Id3, Rela, Smad1, Smad9, Smad4, Id4, Runx2, Id1, Smad5"
Gdf6|COMPLEX:Bmpr1b_Acvr2a,Gdf6,COMPLEX:Bmpr1b_Acvr2a,BMP,Secreted,"Smad3, Junb, Nfkb1, Id2, Id3, E2f4, Tfdp1, Rela, Smad1, Smad9, Smad4, Id4, Id1, Nanog, E2f5, Smad5, Smad2"
Gdf6|COMPLEX:Bmpr1b_Acvr2b,Gdf6,COMPLEX:Bmpr1b_Acvr2b,BMP,Secreted,"Tcf7l2, Id3, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, Id2, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad9, Smad3, Tfdp1, Smad1, Smad4, Lef1, Id4, Max, Id1, Creb1, Gata3"
Gdf6|COMPLEX:Bmpr1b_Bmpr2,Gdf6,COMPLEX:Bmpr1b_Bmpr2,BMP,Secreted,"Nfkb1, Id2, Id3, Rela, Smad1, Smad9, Smad4, Id4, Id1, Smad5"
Gdf7|COMPLEX:Bmpr1a_Acvr2a,Gdf7,COMPLEX:Bmpr1a_Acvr2a,BMP,Secreted,"Smad3, Junb, Nfkb1, Id2, Id3, E2f4, Tfdp1, Rela, Smad1, Smad9, Smad4, Id4, Runx2, Id1, Nanog, E2f5, Smad5, Smad2"
Gdf7|COMPLEX:Bmpr1a_Acvr2b,Gdf7,COMPLEX:Bmpr1a_Acvr2b,BMP,Secreted,"Tcf7l2, Id3, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, Creb1, Id2, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad9, Smad3, Tfdp1, Smad1, Smad4, Runx2, Id4, Lef1, Id1, Max, Gata3"
Gdf7|COMPLEX:Bmpr1a_Bmpr2,Gdf7,COMPLEX:Bmpr1a_Bmpr2,BMP,Secreted,"Nfkb1, Id2, Id3, Rela, Smad1, Smad9, Smad4, Id4, Runx2, Id1, Smad5"
Gdf7|COMPLEX:Bmpr1b_Acvr2a,Gdf7,COMPLEX:Bmpr1b_Acvr2a,BMP,Secreted,"Smad3, Junb, Nfkb1, Id2, Id3, E2f4, Tfdp1, Rela, Smad1, Smad9, Smad4, Id4, Id1, Nanog, E2f5, Smad5, Smad2"
Gdf7|COMPLEX:Bmpr1b_Acvr2b,Gdf7,COMPLEX:Bmpr1b_Acvr2b,BMP,Secreted,"Tcf7l2, Id3, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, Id2, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad9, Smad3, Tfdp1, Smad1, Smad4, Lef1, Id4, Max, Id1, Creb1, Gata3"
Gdf7|COMPLEX:Bmpr1b_Bmpr2,Gdf7,COMPLEX:Bmpr1b_Bmpr2,BMP,Secreted,"Nfkb1, Id2, Id3, Rela, Smad1, Smad9, Smad4, Id4, Id1, Smad5"
Bmp15|COMPLEX:Bmpr1b_Bmpr2,Bmp15,COMPLEX:Bmpr1b_Bmpr2,BMP,Secreted,"Nfkb1, Id2, Id3, Rela, Smad1, Smad9, Smad4, Id4, Id1, Smad5"
